centre_id,district,x,y,capacity,transport_quality,food_availability,accommodation_availability
C001,North_1,290.965,850.159,271,5,4,4
C002,North_2,406.428,778.074,416,9,2,10
C003,North_3,537.173,857.464,213,4,9,10
C004,North_4,598.821,803.322,429,9,7,4
C005,North_5,711.827,827.88,374,1,3,7
C006,South_1,291.603,169.2,394,6,2,2
C007,South_2,454.58,211.005,435,10,5,1
C008,South_3,451.642,133.007,350,7,2,9
C009,South_4,658.599,145.866,235,6,10,4
C010,South_5,774.309,155.718,251,5,2,4
C011,East_1,832.549,316.05,381,6,3,6
C012,East_2,825.554,431.357,473,2,10,3
C013,East_3,852.813,508.418,312,7,5,9
C014,East_4,798.487,590.615,361,1,4,1
C015,East_5,846.572,761.029,455,10,6,4
C016,West_1,100.777,397.869,271,8,3,5
C017,West_2,180.762,535.939,498,5,10,7
C018,West_3,134.103,651.641,246,3,9,8
C019,West_4,182.021,724.402,232,3,3,7
C020,Metro,471.763,524.968,483,8,9,5
