student_id,centre_id,distance
S00001,C001,216.369
S00001,C002,227.573
S00001,C003,380.257
S00001,C004,408.948
S00001,C005,523.083
S00001,C006,481.087
S00001,C007,492.693
S00001,C008,561.427
S00001,C009,663.48
S00001,C010,738.216
S00001,C011,693.886
S00001,C012,640.605
S00001,C013,645.773
S00001,C014,579.374
S00001,C015,635.532
S00001,C016,275.286
S00001,C017,116.656
S00001,C018,87.823
S00001,C019,88.598
S00001,C020,277.468
S00002,C001,485.987
S00002,C002,475.195
S00002,C003,618.774
S00002,C004,624.013
S00002,C005,727.307
S00002,C006,275.032
S00002,C007,371.58
S00002,C008,412.839
S00002,C009,583.068
S00002,C010,686.273
S00002,C011,706.738
S00002,C012,696.82
S00002,C013,732.316
S00002,C014,697.597
S00002,C015,806.293
S00002,C016,29.746
S00002,C017,153.002
S00002,C018,260.026
S00002,C019,336.815
S00002,C020,366.97
S00003,C001,912.454
S00003,C002,786.683
S00003,C003,794.977
S00003,C004,722.183
S00003,C005,716.308
S00003,C006,553.349
S00003,C007,398.187
S00003,C008,391.547
S00003,C009,185.806
S00003,C010,75.858
S00003,C011,192.639
S00003,C012,308.157
S00003,C013,384.842
S00003,C014,469.04
S00003,C015,637.34
S00003,C016,791.315
S00003,C017,780.131
S00003,C018,883.95
S00003,C019,893.219
S00003,C020,546.71
S00004,C001,456.367
S00004,C002,345.563
S00004,C003,412.22
S00004,C004,369.124
S00004,C005,434.25
S00004,C006,349.373
S00004,C007,240.707
S00004,C008,317.917
S00004,C009,338.115
S00004,C010,397.057
S00004,C011,353.507
S00004,C012,321.891
S00004,C013,354.229
S00004,C014,327.804
S00004,C015,464.993
S00004,C016,406.177
S00004,C017,335.385
S00004,C018,422.955
S00004,C019,425.289
S00004,C020,84.768
S00005,C001,218.71
S00005,C002,286.175
S00005,C003,435.401
S00005,C004,479.066
S00005,C005,594.709
S00005,C006,555.863
S00005,C007,587.568
S00005,C008,652.615
S00005,C009,766.231
S00005,C010,843.687
S00005,C011,800.578
S00005,C012,745.394
S00005,C013,747.377
S00005,C014,676.846
S00005,C015,718.312
S00005,C016,304.888
S00005,C017,172.74
S00005,C018,49.752
S00005,C019,56.245
S00005,C020,383.896
S00006,C001,363.752
S00006,C002,238.379
S00006,C003,142.15
S00006,C004,60.104
S00006,C005,92.784
S00006,C006,691.68
S00006,C007,584.801
S00006,C008,659.914
S00006,C009,618.439
S00006,C010,622.138
S00006,C011,485.99
S00006,C012,378.897
S00006,C013,329.895
S00006,C014,232.066
S00006,C015,202.196
S00006,C016,655.501
S00006,C017,516.756
S00006,C018,522.551
S00006,C019,464.084
S00006,C020,294.971
S00007,C001,631.397
S00007,C002,495.314
S00007,C003,443.945
S00007,C004,362.625
S00007,C005,324.815
S00007,C006,648.823
S00007,C007,492.834
S00007,C008,548.114
S00007,C009,418.805
S00007,C010,375.487
S00007,C011,210.519
S00007,C012,95.512
S00007,C013,26.769
S00007,C014,72.819
S00007,C015,234.846
S00007,C016,743.582
S00007,C017,652.442
S00007,C018,710.135
S00007,C019,680.507
S00007,C020,361.378
S00008,C001,138.697
S00008,C002,209.895
S00008,C003,356.006
S00008,C004,403.915
S00008,C005,519.322
S00008,C006,584.581
S00008,C007,593.287
S00008,C008,663.399
S00008,C009,756.252
S00008,C010,824.588
S00008,C011,765.934
S00008,C012,701.351
S00008,C013,695.833
S00008,C014,619.455
S00008,C015,647.799
S00008,C016,362.081
S00008,C017,211.234
S00008,C018,114.808
S00008,C019,27.743
S00008,C020,351.37
S00009,C001,447.424
S00009,C002,339.138
S00009,C003,201.454
S00009,C004,146.39
S00009,C005,33.024
S00009,C006,812.232
S00009,C007,696.912
S00009,C008,769.896
S00009,C009,706.169
S00009,C010,692.728
S00009,C011,539.742
S00009,C012,425.189
S00009,C013,357.884
S00009,C014,263.837
S00009,C015,138.51
S00009,C016,780.205
S00009,C017,638.763
S00009,C018,635.231
S00009,C019,569.818
S00009,C020,418.475
S00010,C001,362.167
S00010,C002,333.22
S00010,C003,473.954
S00010,C004,478.63
S00010,C005,583.067
S00010,C006,328.07
S00010,C007,356.9
S00010,C008,419.604
S00010,C009,547.268
S00010,C010,635.764
S00010,C011,623.033
S00010,C012,593.716
S00010,C013,618.043
S00010,C014,572.012
S00010,C015,668.009
S00010,C016,164.122
S00010,C017,69.569
S00010,C018,188.549
S00010,C019,238.022
S00010,C020,239.021
S00011,C001,178.389
S00011,C002,106.029
S00011,C003,68.634
S00011,C004,143.367
S00011,C005,245.635
S00011,C006,716.848
S00011,C007,652.945
S00011,C008,730.989
S00011,C009,742.585
S00011,C010,771.16
S00011,C011,657.506
S00011,C012,560.582
S00011,C013,523.195
S00011,C014,428.135
S00011,C015,391.469
S00011,C016,593.76
S00011,C017,436.432
S00011,C018,396.298
S00011,C019,318.89
S00011,C020,338.839
S00012,C001,785.6
S00012,C002,660.338
S00012,C003,673.888
S00012,C004,603.478
S00012,C005,607.256
S00012,C006,475.332
S00012,C007,309.543
S00012,C008,324.925
S00012,C009,130.444
S00012,C010,67.945
S00012,C011,115.748
S00012,C012,217.423
S00012,C013,299.081
S00012,C014,369.378
S00012,C015,544.483
S00012,C016,685.824
S00012,C017,661.864
S00012,C018,761.9
S00012,C019,768.195
S00012,C020,420.251
S00013,C001,512.944
S00013,C002,394.842
S00013,C003,271.079
S00013,C004,202.273
S00013,C005,95.024
S00013,C006,806.722
S00013,C007,678.814
S00013,C008,748.324
S00013,C009,664.377
S00013,C010,639.657
S00013,C011,479.815
S00013,C012,364.298
S00013,C013,291.067
S00013,C014,204.22
S00013,C015,56.802
S00013,C016,804.838
S00013,C017,672.019
S00013,C018,682.011
S00013,C019,622.887
S00013,C020,425.631
S00014,C001,829.77
S00014,C002,709.81
S00014,C003,736.304
S00014,C004,669.283
S00014,C005,680.706
S00014,C006,441.216
S00014,C007,284.877
S00014,C008,281.015
S00014,C009,73.703
S00014,C010,42.825
S00014,C011,196.134
S00014,C012,298.806
S00014,C013,380.53
S00014,C014,448.052
S00014,C015,624.102
S00014,C016,679.334
S00014,C017,674.593
S00014,C018,782.303
S00014,C019,797.262
S00014,C020,458.659
S00015,C001,177.165
S00015,C002,77.953
S00015,C003,76.583
S00015,C004,134.341
S00015,C005,245.147
S00015,C006,681.217
S00015,C007,616.649
S00015,C008,694.691
S00015,C009,708.171
S00015,C010,738.9
S00015,C011,628.87
S00015,C012,534.554
S00015,C013,500.933
S00015,C014,407.709
S00015,C015,385.67
S00015,C016,564.356
S00015,C017,408.384
S00015,C018,376.226
S00015,C019,302.766
S00015,C020,302.61
S00016,C001,10.289
S00016,C002,131.021
S00016,C003,246.905
S00016,C004,310.086
S00016,C005,421.102
S00016,C006,670.67
S00016,C007,649.818
S00016,C008,724.91
S00016,C009,785.396
S00016,C010,837.706
S00016,C011,753.509
S00016,C012,672.861
S00016,C013,652.389
S00016,C014,565.488
S00016,C015,561.241
S00016,C016,481.155
S00016,C017,323.27
S00016,C018,244.978
S00016,C019,158.703
S00016,C020,363.148
S00017,C001,130.261
S00017,C002,215.762
S00017,C003,357.911
S00017,C004,409.496
S00017,C005,524.443
S00017,C006,605.898
S00017,C007,615.036
S00017,C008,685.197
S00017,C009,777.234
S00017,C010,844.728
S00017,C011,784.026
S00017,C012,717.735
S00017,C013,710.451
S00017,C014,632.519
S00017,C015,655.629
S00017,C016,379.68
S00017,C017,230.969
S00017,C018,128.327
S00017,C019,43.216
S00017,C020,370.502
S00018,C001,696.956
S00018,C002,644.999
