student_id,pref_1,pref_2,pref_3
S00001,C018,C014,C019
S00002,C016,C009,C017
S00003,C010,C014,C013
S00004,C007,C004,C003
S00005,C003,C019,C018
S00006,C011,C003,C004
S00007,C014,C016,C013
S00008,C001,C003,C019
S00009,C014,C019,C005
S00010,C016,C017,C019
S00011,C003,C005,C002
S00012,C010,C011,C009
S00013,C004,C016,C015
S00014,C010,C009,C012
S00015,C002,C006,C015
S00016,C001,C016,C003
S00017,C020,C002,C019
S00018,C008,C006,C017
S00019,C006,C016,C008
S00020,C020,C002,C017
S00021,C008,C019,C018
S00022,C005,C001,C018
S00023,C006,C008,C007
S00024,C020,C004,C006
S00025,C020,C010,C009
S00026,C014,C020,C015
S00027,C012,C017,C008
S00028,C010,C007,C015
S00029,C008,C006,C011
S00030,C008,C014,C016
S00031,C007,C004,C003
S00032,C006,C017,C009
S00033,C001,C002,C019
S00034,C013,C001,C014
S00035,C020,C014,C019
S00036,C011,C016,C013
S00037,C020,C018,C002
S00038,C020,C006,C003
S00039,C020,C008,C007
S00040,C016,C013,C012
S00041,C004,C011,C012
S00042,C019,C018,C009
S00043,C012,C013,C015
S00044,C014,C015,C017
S00045,C020,C005,C013
S00046,C016,C004,C003
S00047,C015,C012,C006
S00048,C003,C012,C011
S00049,C002,C015,C017
S00050,C007,C009,C012
S00051,C016,C014,C003
S00052,C002,C014,C005
S00053,C011,C013,C002
S00054,C009,C010,C014
S00055,C015,C017,C018
S00056,C008,C012,C006
S00057,C020,C019,C017
S00058,C001,C018,C003
S00059,C017,C018,C002
S00060,C006,C007,C008
S00061,C019,C018,C001
S00062,C020,C009,C008
S00063,C002,C001,C020
S00064,C001,C012,C020
S00065,C014,C015,C013
S00066,C003,C005,C010
S00067,C001,C020,C005
S00068,C009,C007,C006
S00069,C008,C006,C007
S00070,C008,C013,C019
S00071,C013,C010,C012
S00072,C009,C011,C004
S00073,C012,C013,C017
S00074,C013,C004,C011
S00075,C009,C011,C010
S00076,C006,C010,C020
S00077,C010,C008,C009
S00078,C015,C014,C011
S00079,C002,C003,C020
S00080,C005,C001,C014
S00081,C003,C005,C006
S00082,C009,C004,C011
S00083,C011,C012,C009
S00084,C019,C002,C001
S00085,C005,C020,C012
S00086,C001,C019,C002
S00087,C005,C003,C016
S00088,C012,C014,C019
S00089,C019,C017,C018
S00090,C014,C008,C017
S00091,C016,C007,C017
S00092,C017,C010,C009
S00093,C012,C007,C006
S00094,C001,C008,C007
S00095,C007,C009,C012
S00096,C002,C018,C020
S00097,C018,C011,C017
S00098,C020,C003,C019
S00099,C012,C011,C009
S00100,C011,C017,C014
S00101,C009,C007,C014
S00102,C020,C016,C009
S00103,C002,C003,C019
S00104,C017,C005,C003
S00105,C008,C006,C011
S00106,C016,C020,C011
S00107,C006,C014,C008
S00108,C020,C019,C017
S00109,C016,C008,C017
S00110,C015,C014,C013
S00111,C013,C014,C011
S00112,C005,C019,C011
S00113,C018,C017,C016
S00114,C017,C020,C012
S00115,C011,C009,C007
S00116,C002,C015,C004
S00117,C019,C017,C011
S00118,C013,C004,C015
S00119,C017,C018,C019
S00120,C007,C013,C012
S00121,C003,C005,C004
S00122,C009,C010,C019
S00123,C018,C019,C001
S00124,C006,C013,C009
S00125,C007,C008,C006
S00126,C005,C001,C015
S00127,C011,C012,C004
S00128,C013,C003,C014
S00129,C004,C005,C014
S00130,C006,C008,C007
S00131,C009,C010,C008
S00132,C007,C011,C006
S00133,C003,C015,C002
S00134,C004,C005,C003
S00135,C020,C004,C005
S00136,C003,C005,C015
S00137,C018,C001,C002
S00138,C014,C013,C005
S00139,C012,C013,C014
S00140,C020,C004,C015
S00141,C018,C017,C020
S00142,C015,C005,C003
S00143,C003,C001,C005
S00144,C016,C018,C006
S00145,C018,C014,C020
S00146,C012,C011,C010
S00147,C013,C014,C007
S00148,C003,C005,C004
S00149,C015,C014,C020
S00150,C010,C015,C005
S00151,C019,C020,C013
S00152,C009,C007,C020
S00153,C018,C019,C003
S00154,C009,C004,C020
S00155,C019,C003,C005
S00156,C009,C007,C011
S00157,C019,C018,C002
S00158,C003,C004,C005
S00159,C020,C007,C005
S00160,C012,C016,C011
S00161,C002,C001,C003
S00162,C003,C020,C005
S00163,C014,C016,C004
S00164,C006,C018,C008
S00165,C009,C007,C002
S00166,C018,C019,C007
S00167,C011,C009,C013
S00168,C013,C012,C014
S00169,C008,C017,C020
S00170,C001,C019,C002
S00171,C008,C014,C007
S00172,C006,C020,C018
S00173,C004,C015,C008
S00174,C012,C020,C010
S00175,C008,C004,C006
S00176,C018,C012,C019
S00177,C012,C015,C020
S00178,C016,C006,C013
S00179,C019,C002,C018
S00180,C016,C012,C002
S00181,C018,C019,C002
S00182,C003,C005,C015
S00183,C015,C014,C005
S00184,C012,C014,C019
S00185,C008,C018,C016
S00186,C015,C002,C001
S00187,C002,C001,C004
S00188,C014,C015,C013
S00189,C012,C019,C014
S00190,C017,C016,C018
S00191,C016,C006,C002
S00192,C008,C002,C006
S00193,C015,C018,C005
S00194,C009,C008,C006
S00195,C013,C012,C001
S00196,C013,C014,C009
