student_id,district,x,y,gender
S00001,West_3,221.688,645.18,F
S00002,West_1,129.866,391.65,M
S00003,South_5,843.078,123.699,F
S00004,Metro,504.023,446.579,M
S00005,West_3,130.749,701.28,M
S00006,North_4,644.4,764.142,M
S00007,East_3,833.137,526.568,F
S00008,West_4,198.938,746.39,M
S00009,North_5,738.381,847.514,F
S00010,West_2,234.979,492.346,M
S00011,North_3,468.832,863.794,F
S00012,East_1,763.896,222.86,M
S00013,East_5,800.915,794.821,F
S00014,South_5,732.284,147.481,M
S00015,North_2,466.68,827.535,M
S00016,North_1,290.896,839.87,M
S00017,West_4,190.967,766.682,M
S00018,South_1,239.215,155.127,F
S00019,South_1,249.653,157.775,M
S00020,North_2,367.128,839.829,F
S00021,West_3,211.755,661.87,M
S00022,North_2,398.973,739.946,M
S00023,South_1,313.016,195.678,F
S00024,North_4,550.836,841.33,M
S00025,South_5,791.636,106.472,M
S00026,East_4,812.491,638.042,M
S00027,Metro,515.773,477.912,F
S00028,South_5,819.044,77.034,M
S00029,South_3,560.177,146.744,F
S00030,South_1,271.002,81.192,F
S00031,North_4,605.734,933.388,M
S00032,West_1,205.81,380.955,M
S00033,North_2,322.244,815.68,M
S00034,East_3,840.078,495.617,M
S00035,Metro,446.396,474.909,M
S00036,East_3,802.936,553.953,F
S00037,Metro,520.245,568.491,M
S00038,South_1,339.103,197.487,F
S00039,South_2,410.205,162.537,F
S00040,East_3,835.942,517.037,M
S00041,East_1,883.07,325.831,M
S00042,West_4,162.007,799.275,F
S00043,East_3,920.349,519.747,M
S00044,East_4,721.803,604.924,M
S00045,Metro,514.813,516.652,M
S00046,West_1,170.493,390.338,M
S00047,East_5,873.346,816.13,F
S00048,East_1,854.307,393.335,M
S00049,North_2,377.877,836.731,M
S00050,South_2,495.581,272.081,M
S00051,West_1,104.943,344.832,M
S00052,North_3,589.898,831.659,M
S00053,East_2,850.146,358.728,M
S00054,South_4,681.389,191.135,M
S00055,West_4,188.464,813.029,M
S00056,South_3,439.697,116.298,M
S00057,Metro,502.231,526.706,M
S00058,West_4,252.612,791.401,F
S00059,West_2,123.047,535.289,M
S00060,South_1,300.008,129.066,M
S00061,West_3,164.283,721.638,F
S00062,South_3,564.078,67.676,M
S00063,North_1,309.041,892.607,M
S00064,Metro,488.271,563.378,F
S00065,East_4,842.404,606.43,M
S00066,North_3,552.738,849.781,F
S00067,North_1,260.951,831.366,F
S00068,South_4,662.201,177.794,M
S00069,South_1,294.33,147.469,M
S00070,South_3,585.16,178.297,F
S00071,East_3,842.979,505.136,F
S00072,East_1,835.056,260.342,F
S00073,East_2,843.78,472.152,F
S00074,East_4,870.973,604.322,F
S00075,South_4,659.232,146.877,M
S00076,South_4,582.49,148.391,F
S00077,South_5,730.746,101.932,M
S00078,East_4,806.0,704.956,F
S00079,North_2,441.441,810.219,F
S00080,North_5,758.144,864.501,M
S00081,Metro,441.082,450.459,F
S00082,South_4,619.711,158.459,F
S00083,East_1,857.484,360.699,M
S00084,West_4,239.913,707.984,F
S00085,North_5,778.155,789.539,F
S00086,North_2,410.44,907.398,F
S00087,North_3,470.975,867.203,F
S00088,Metro,548.106,460.924,F
S00089,West_3,58.32,611.561,F
S00090,South_5,755.962,63.875,F
S00091,West_1,87.388,351.57,F
S00092,South_5,747.53,117.962,F
S00093,South_2,386.218,173.869,M
S00094,South_3,542.905,175.581,F
S00095,South_4,595.007,167.657,M
S00096,West_3,90.734,689.358,M
S00097,West_3,154.307,596.182,M
S00098,Metro,486.546,542.671,F
S00099,East_2,812.219,329.657,M
S00100,East_1,847.548,346.352,F
S00101,South_2,390.274,138.66,M
S00102,West_3,260.643,578.758,M
S00103,West_4,124.388,743.773,M
S00104,East_4,852.955,677.713,M
S00105,South_1,271.851,193.819,F
S00106,West_1,95.503,411.742,F
S00107,South_1,302.75,154.382,M
S00108,Metro,461.679,552.772,M
S00109,West_1,178.517,350.657,M
S00110,East_3,858.666,575.844,M
S00111,East_2,833.95,478.369,F
S00112,North_4,581.623,773.383,M
S00113,West_2,200.032,533.281,M
S00114,Metro,412.632,454.932,F
S00115,South_4,636.099,162.539,M
S00116,North_3,537.347,768.174,M
S00117,West_2,168.07,494.754,F
S00118,East_4,878.983,667.285,M
S00119,West_3,159.33,620.904,F
S00120,East_4,853.48,577.911,F
S00121,North_4,575.362,811.113,F
S00122,South_5,782.621,96.404,F
S00123,West_3,159.308,623.252,F
S00124,South_1,234.731,163.588,F
S00125,South_2,370.127,181.427,F
S00126,North_5,767.152,815.792,F
S00127,East_2,790.856,406.944,M
S00128,East_5,779.373,760.437,F
S00129,East_4,740.273,644.603,M
S00130,South_2,382.279,198.992,F
S00131,South_5,708.513,140.853,F
S00132,South_3,488.105,161.035,M
S00133,North_3,533.016,876.247,M
S00134,North_4,637.41,783.888,F
S00135,Metro,518.716,467.249,F
S00136,North_4,695.401,824.938,F
S00137,North_1,330.233,867.566,M
S00138,East_4,820.367,619.066,M
S00139,East_2,772.4,419.267,M
S00140,Metro,498.606,589.504,M
S00141,West_2,165.67,510.314,M
S00142,North_4,681.163,718.176,M
S00143,Metro,556.289,551.837,M
S00144,West_1,78.099,427.199,F
S00145,West_3,188.341,637.595,M
S00146,East_3,848.199,415.932,M
S00147,East_3,853.298,543.44,M
S00148,North_4,642.934,821.497,F
S00149,East_5,843.614,757.179,F
S00150,East_5,840.588,707.636,M
S00151,Metro,514.841,438.74,M
S00152,South_4,577.535,162.038,F
S00153,West_3,174.424,651.758,F
S00154,East_3,900.621,434.398,F
S00155,North_3,498.765,790.314,F
S00156,East_1,836.585,295.718,M
S00157,West_4,174.06,719.062,M
S00158,North_2,493.124,799.718,M
S00159,Metro,483.269,468.505,M
S00160,West_1,174.658,408.537,F
S00161,West_4,204.916,834.261,F
S00162,Metro,454.712,508.636,F
S00163,East_4,845.217,608.618,F
S00164,South_1,372.636,122.156,M
S00165,South_5,739.317,186.545,F
S00166,West_3,150.98,638.075,F
S00167,South_4,656.3,219.409,F
S00168,East_3,856.905,494.699,M
S00169,Metro,435.54,526.408,M
S00170,North_1,239.8,796.201,M
S00171,South_2,455.908,183.954,M
S00172,Metro,542.757,473.957,M
S00173,East_4,879.312,726.073,F
S00174,East_1,842.478,379.462,F
S00175,South_1,253.01,135.987,M
S00176,West_3,136.948,718.424,F
S00177,South_3,533.33,115.51,M
S00178,South_1,277.026,207.077,F
S00179,West_3,101.102,657.069,F
S00180,East_2,772.229,396.631,F
S00181,West_3,183.001,635.994,F
S00182,North_5,757.149,841.729,F
S00183,East_5,871.729,713.816,M
S00184,East_1,906.727,307.254,F
S00185,West_3,184.107,605.544,F
S00186,North_1,351.193,926.655,M
S00187,North_2,416.949,785.377,F
S00188,East_4,872.522,569.371,F
S00189,Metro,434.25,432.746,F
S00190,West_3,166.513,643.789,F
S00191,Metro,499.025,452.001,M
S00192,West_1,144.083,340.151,M
S00193,East_5,866.344,747.126,M
S00194,South_2,392.169,197.866,F
S00195,East_2,827.252,383.505,M
S00196,East_3,804.526,570.902,F
S00197,West_4,211.136,819.175,F
S00198,South_5,706.921,66.514,F
S00199,West_4,168.407,756.294,F
S00200,Metro,537.828,497.059,F
S00201,East_5,818.227,765.225,F
S00202,West_3,184.565,667.391,F
S00203,East_2,857.604,408.272,F
S00204,South_1,232.317,122.439,M
S00205,West_4,177.418,694.924,F
S00206,West_1,160.09,440.348,M
S00207,East_4,770.892,593.364,M
S00208,East_3,908.294,487.995,F
S00209,West_2,221.937,508.923,M
S00210,North_2,389.121,891.68,M
S00211,North_5,775.928,765.382,F
S00212,East_1,927.56,251.152,F
S00213,West_4,290.575,739.552,F
S00214,West_1,138.224,378.891,M
S00215,North_3,612.287,836.351,F
S00216,Metro,514.442,459.557,F
S00217,North_1,246.738,843.711,F
S00218,East_3,901.952,429.033,M
S00219,East_4,758.441,651.152,F
S00220,West_4,182.91,796.0,F
S00221,West_4,165.152,823.644,M
S00222,North_1,440.233,889.59,M
S00223,North_3,543.454,839.191,F
S00224,South_3,591.005,128.269,F
S00225,East_3,841.277,432.341,M
S00226,West_3,70.442,569.279,F
S00227,North_1,261.537,890.398,M
S00228,West_3,205.551,680.017,F
S00229,North_2,390.866,936.621,F
S00230,North_2,425.161,882.467,M
S00231,North_2,342.418,936.757,M
S00232,North_2,412.916,789.477,M
S00233,West_2,188.279,577.21,M
S00234,South_1,427.581,136.65,F
S00235,West_2,249.602,557.526,M
S00236,North_1,303.247,822.868,F
S00237,North_1,292.741,878.321,F
S00238,East_1,853.606,243.84,F
S00239,East_1,896.252,328.716,M
S00240,East_5,910.447,719.199,F
S00241,South_5,770.537,146.427,F
S00242,West_3,130.757,649.612,F
S00243,North_2,463.842,849.949,M
S00244,North_3,482.597,812.959,F
S00245,South_3,494.208,128.39,F
S00246,North_3,498.718,770.924,M
S00247,South_4,675.478,149.926,F
S00248,South_4,635.023,141.36,F
S00249,East_4,801.767,658.394,F
S00250,North_2,419.785,802.662,M
S00251,West_1,133.449,377.048,M
S00252,East_3,817.729,509.812,M
S00253,South_4,715.069,103.606,F
S00254,West_3,128.611,523.667,F
S00255,South_3,497.532,135.364,F
S00256,North_5,822.612,909.671,F
S00257,North_3,519.247,886.706,F
S00258,West_3,232.064,626.763,M
S00259,East_3,817.127,467.082,M
S00260,North_4,628.67,783.007,F
S00261,South_3,535.454,172.735,F
S00262,North_2,403.182,699.97,M
S00263,West_1,160.205,405.835,F
S00264,North_4,624.949,856.9,M
S00265,West_4,222.16,842.526,M
S00266,East_4,810.826,705.637,F
S00267,East_3,828.091,541.101,M
S00268,South_3,576.972,193.487,F
S00269,East_1,843.601,324.648,M
S00270,North_1,285.158,884.396,M
S00271,West_1,144.418,382.057,F
S00272,West_1,169.811,399.305,M
S00273,East_1,895.77,224.406,M
S00274,South_4,637.592,131.883,F
S00275,West_4,218.162,735.096,F
S00276,East_5,835.65,766.006,M
S00277,Metro,551.519,596.383,F
S00278,West_3,166.925,630.663,M
S00279,South_1,248.5,120.951,F
S00280,West_3,149.161,608.161,M
S00281,North_2,372.939,778.896,M
S00282,West_4,137.586,838.862,M
S00283,North_5,773.07,878.737,M
S00284,West_1,134.279,336.708,F
S00285,South_5,700.456,126.909,F
S00286,West_3,132.051,621.544,M
S00287,South_5,700.557,91.004,M
S00288,South_3,569.742,172.511,M
S00289,North_2,418.83,804.336,M
S00290,East_3,804.89,522.773,M
S00291,South_5,778.994,89.194,F
S00292,East_3,741.813,524.028,F
S00293,North_3,558.262,830.554,M
S00294,East_1,870.877,325.014,F
S00295,Metro,438.967,490.699,F
S00296,South_3,515.533,195.154,F
S00297,East_4,880.125,660.529,F
S00298,North_2,466.178,857.924,F
S00299,South_1,364.241,56.644,M
S00300,South_2,388.432,167.655,F
S00301,South_2,373.102,124.925,M
S00302,East_3,890.833,510.29,F
S00303,East_4,808.861,660.729,M
S00304,East_4,782.194,659.742,F
S00305,South_2,449.23,167.571,F
S00306,North_4,666.112,819.996,F
S00307,West_3,212.17,685.853,M
S00308,East_4,864.531,596.242,F
S00309,North_4,669.106,882.717,M
S00310,East_5,896.23,766.612,M
S00311,Metro,442.245,451.856,F
S00312,North_5,762.944,971.549,F
S00313,West_4,203.351,843.624,F
S00314,South_5,746.247,193.263,F
S00315,Metro,533.007,426.146,M
S00316,West_3,198.764,656.586,F
S00317,East_2,889.566,462.293,M
S00318,South_1,297.957,114.204,M
S00319,West_3,232.902,693.872,F
S00320,West_4,222.215,760.288,F
S00321,East_1,867.96,439.648,F
S00322,North_5,746.401,873.672,F
S00323,West_2,204.015,528.153,F
S00324,East_5,900.264,808.877,F
S00325,East_3,862.317,520.085,M
S00326,West_3,80.847,618.104,F
S00327,North_3,515.967,892.008,M
S00328,North_5,714.627,806.846,M
S00329,North_3,575.192,820.957,M
S00330,East_4,756.164,607.45,F
S00331,South_4,614.932,157.953,F
S00332,North_4,613.067,772.285,F
S00333,North_2,357.171,811.272,M
S00334,South_4,577.175,191.929,F
S00335,South_1,373.911,158.081,F
S00336,North_5,743.398,837.432,F
S00337,North_3,500.476,887.749,M
S00338,West_3,99.512,523.965,F
S00339,East_4,826.123,624.951,F
S00340,North_1,318.851,930.982,M
S00341,South_2,393.284,222.16,F
S00342,South_1,295.606,120.699,F
S00343,West_3,212.774,659.443,F
S00344,North_3,461.207,924.65,F
S00345,West_4,88.111,859.339,F
S00346,East_5,800.949,814.516,F
S00347,West_2,177.381,481.941,M
S00348,East_2,812.046,426.575,F
S00349,South_2,372.097,151.496,F
S00350,South_3,612.707,173.908,F
S00351,East_3,796.018,550.55,M
S00352,North_2,382.232,787.482,M
S00353,Metro,538.399,548.103,F
S00354,North_1,366.266,887.034,F
S00355,South_3,535.97,146.395,M
S00356,East_4,861.183,626.282,M
S00357,East_2,775.436,401.656,F
S00358,South_1,350.535,198.007,F
S00359,East_1,874.284,283.356,F
S00360,East_5,868.669,815.384,F
S00361,North_5,766.613,868.294,M
S00362,West_4,161.845,786.522,F
S00363,East_4,805.699,584.96,F
S00364,West_4,222.213,722.932,M
S00365,West_2,157.144,498.741,M
S00366,West_2,184.373,552.345,F
S00367,East_2,764.823,469.569,M
S00368,East_3,888.17,544.96,F
S00369,East_1,865.065,211.817,M
S00370,North_3,517.778,871.122,F
S00371,East_5,803.354,831.495,M
S00372,West_1,186.655,398.561,M
S00373,West_3,111.927,635.651,M
S00374,South_2,399.518,139.874,F
S00375,West_3,149.757,703.894,F
S00376,North_3,506.893,907.536,M
S00377,East_3,830.888,511.617,F
S00378,West_3,72.575,607.291,M
S00379,North_2,483.264,795.453,F
S00380,East_4,824.968,593.549,M
S00381,East_1,829.043,268.327,F
S00382,South_5,778.043,85.6,F
S00383,South_5,745.069,125.541,F
S00384,South_5,772.513,208.926,F
S00385,West_3,93.523,761.37,F
S00386,Metro,529.487,531.705,M
S00387,South_2,375.28,187.424,M
S00388,North_3,628.074,888.925,F
S00389,South_1,312.594,130.122,F
S00390,Metro,494.732,471.28,M
S00391,East_1,802.338,290.114,F
S00392,East_1,892.973,319.115,F
S00393,Metro,509.122,540.982,M
S00394,South_1,224.177,100.212,F
S00395,South_1,316.433,151.102,M
S00396,West_4,169.231,704.307,F
S00397,North_1,349.847,873.263,F
S00398,East_2,867.72,433.763,F
S00399,West_3,105.791,596.757,M
S00400,Metro,437.047,549.529,F
S00401,East_2,803.317,428.779,F
S00402,East_1,878.448,301.861,F
S00403,West_2,154.631,496.903,M
S00404,South_2,389.684,162.522,F
S00405,East_3,801.329,522.531,F
S00406,East_5,829.527,833.75,F
S00407,South_2,446.066,209.686,F
S00408,West_2,169.393,432.138,M
S00409,East_3,848.599,590.391,M
S00410,East_5,831.187,741.214,F
S00411,North_4,635.194,809.664,M
S00412,North_4,596.301,836.973,F
S00413,East_5,789.279,796.49,F
S00414,West_3,148.566,623.926,M
S00415,East_1,707.072,235.476,F
S00416,East_1,844.178,320.555,F
S00417,East_2,779.354,329.14,F
S00418,East_3,867.015,556.654,F
S00419,North_5,792.279,848.593,F
S00420,East_5,835.877,706.488,F
S00421,South_3,598.308,117.563,F
S00422,South_1,244.567,124.908,F
S00423,West_2,258.034,477.121,F
S00424,North_1,312.545,849.94,F
S00425,East_4,819.478,608.777,F
S00426,Metro,491.886,476.931,M
S00427,North_5,728.27,806.499,M
S00428,North_2,348.818,857.07,M
S00429,East_5,930.539,843.407,M
S00430,South_4,724.786,143.33,F
S00431,East_4,821.375,602.993,F
S00432,East_4,836.313,629.349,M
S00433,East_2,802.229,305.79,M
S00434,South_4,694.868,90.596,M
S00435,Metro,458.012,531.734,F
S00436,West_4,238.202,783.393,M
S00437,Metro,474.775,542.627,F
S00438,West_4,215.452,819.808,F
S00439,North_4,660.362,837.423,F
S00440,East_4,818.514,632.568,F
S00441,West_2,111.039,468.716,M
S00442,East_3,825.465,489.875,F
S00443,East_1,912.243,329.702,M
S00444,Metro,395.596,514.89,M
S00445,South_1,301.844,225.026,F
S00446,South_2,408.843,173.274,F
S00447,East_5,875.876,763.589,F
S00448,North_4,600.151,726.183,F
S00449,East_5,786.165,673.151,F
S00450,East_3,859.645,548.645,M
S00451,South_5,798.42,146.95,F
S00452,West_1,176.989,280.347,M
S00453,East_5,789.736,710.157,F
S00454,East_1,790.101,371.682,M
S00455,North_2,358.972,804.249,M
S00456,North_4,669.661,781.505,M
S00457,East_5,758.901,761.757,F
S00458,West_2,128.295,515.576,F
S00459,East_2,757.276,385.712,F
S00460,East_5,789.226,805.395,M
S00461,East_2,859.698,421.612,M
S00462,East_2,908.628,445.255,F
S00463,North_1,230.254,896.738,F
S00464,South_3,563.091,119.023,F
S00465,South_3,497.82,89.57,M
S00466,East_4,803.736,663.058,F
S00467,East_1,850.571,263.367,M
S00468,West_1,199.724,353.239,F
S00469,East_1,870.095,264.605,F
S00470,North_4,674.61,905.033,M
S00471,North_1,261.753,802.468,M
S00472,North_5,810.096,879.79,F
S00473,East_3,850.887,511.392,M
S00474,South_4,643.094,211.345,M
S00475,North_3,557.843,853.654,F
S00476,East_2,831.731,327.713,M
