student_id,centre_id,distance,accessibility_penalty,preference_penalty,hardship
S00001,C001,216.369,5.667,50,94.381
S00001,C002,227.573,3.0,50,97.529
S00001,C003,380.257,2.333,50,158.269
S00001,C004,408.948,3.333,50,170.246
S00001,C005,523.083,6.333,50,217.4
S00001,C006,481.087,6.667,50,200.768
S00001,C007,492.693,4.667,50,204.411
S00001,C008,561.427,4.0,50,231.571
S00001,C009,663.48,3.333,50,272.059
S00001,C010,738.216,6.333,50,303.453
S00001,C011,693.886,5.0,50,285.054
S00001,C012,640.605,5.0,50,263.742
S00001,C013,645.773,3.0,50,264.809
S00001,C014,579.374,8.0,5,236.25
S00001,C015,635.532,3.333,50,260.879
S00001,C016,275.286,4.667,50,117.448
S00001,C017,116.656,2.667,50,52.996
S00001,C018,87.823,3.333,0,36.796
S00001,C019,88.598,5.667,10,39.273
S00001,C020,277.468,2.667,50,117.321
S00002,C001,485.987,5.667,50,202.228
S00002,C002,475.195,3.0,50,196.578
S00002,C003,618.774,2.333,50,253.676
S00002,C004,624.013,3.333,50,256.272
S00002,C005,727.307,6.333,50,299.089
S00002,C006,275.032,6.667,50,118.346
S00002,C007,371.58,4.667,50,155.965
S00002,C008,412.839,4.0,50,172.136
S00002,C009,583.068,3.333,5,235.394
S00002,C010,686.273,6.333,50,282.676
S00002,C011,706.738,5.0,50,290.195
S00002,C012,696.82,5.0,50,286.228
S00002,C013,732.316,3.0,50,299.426
S00002,C014,697.597,8.0,50,288.039
S00002,C015,806.293,3.333,50,329.184
S00002,C016,29.746,4.667,0,14.232
S00002,C017,153.002,2.667,10,63.534
S00002,C018,260.026,3.333,50,110.677
S00002,C019,336.815,5.667,50,142.559
S00002,C020,366.97,2.667,50,153.121
S00003,C001,912.454,5.667,50,372.815
S00003,C002,786.683,3.0,50,321.173
S00003,C003,794.977,2.333,50,324.157
S00003,C004,722.183,3.333,50,295.54
S00003,C005,716.308,6.333,50,294.69
S00003,C006,553.349,6.667,50,229.673
S00003,C007,398.187,4.667,50,166.608
S00003,C008,391.547,4.0,50,163.619
S00003,C009,185.806,3.333,50,80.989
S00003,C010,75.858,6.333,0,33.51
S00003,C011,192.639,5.0,50,84.556
S00003,C012,308.157,5.0,50,130.763
S00003,C013,384.842,3.0,10,156.437
S00003,C014,469.04,8.0,5,192.116
S00003,C015,637.34,3.333,50,261.603
S00003,C016,791.315,4.667,50,323.859
S00003,C017,780.131,2.667,50,318.386
S00003,C018,883.95,3.333,50,360.247
S00003,C019,893.219,5.667,50,365.121
S00003,C020,546.71,2.667,50,225.017
S00004,C001,456.367,5.667,50,190.38
S00004,C002,345.563,3.0,50,144.725
S00004,C003,412.22,2.333,10,167.055
S00004,C004,369.124,3.333,5,149.816
S00004,C005,434.25,6.333,50,181.867
S00004,C006,349.373,6.667,50,148.083
