student_id,centre_id,distance,accessibility_penalty,preference_penalty,hardship
S00001,C001,216.369,5.667,50,140.955
S00001,C002,227.573,3.0,50,147.144
S00001,C003,380.257,2.333,50,238.621
S00001,C004,408.948,3.333,50,256.035
S00001,C005,523.083,6.333,50,325.116
S00001,C006,481.087,6.667,50,299.986
S00001,C007,492.693,4.667,50,306.549
S00001,C008,561.427,4.0,50,347.656
S00001,C009,663.48,3.333,50,408.755
S00001,C010,738.216,6.333,50,454.196
S00001,C011,693.886,5.0,50,427.332
S00001,C012,640.605,5.0,50,395.363
S00001,C013,645.773,3.0,50,398.064
S00001,C014,579.374,8.0,5,350.224
S00001,C015,635.532,3.333,50,391.986
S00001,C016,275.286,4.667,50,176.105
S00001,C017,116.656,2.667,50,80.527
S00001,C018,87.823,3.333,0,53.36
S00001,C019,88.598,5.667,10,56.292
S00001,C020,277.468,2.667,50,177.014
S00002,C001,485.987,5.667,50,302.726
S00002,C002,475.195,3.0,50,295.717
S00002,C003,618.774,2.333,50,381.731
S00002,C004,624.013,3.333,50,385.074
S00002,C005,727.307,6.333,50,447.651
S00002,C006,275.032,6.667,50,176.353
S00002,C007,371.58,4.667,50,233.881
S00002,C008,412.839,4.0,50,258.503
S00002,C009,583.068,3.333,5,351.507
S00002,C010,686.273,6.333,50,423.03
S00002,C011,706.738,5.0,50,435.043
S00002,C012,696.82,5.0,50,429.092
S00002,C013,732.316,3.0,50,449.99
S00002,C014,697.597,8.0,50,430.158
S00002,C015,806.293,3.333,50,494.442
S00002,C016,29.746,4.667,0,18.781
S00002,C017,153.002,2.667,10,94.335
S00002,C018,260.026,3.333,50,166.682
S00002,C019,336.815,5.667,50,213.222
S00002,C020,366.97,2.667,50,230.715
S00003,C001,912.454,5.667,50,558.606
S00003,C002,786.683,3.0,50,482.61
S00003,C003,794.977,2.333,50,487.453
S00003,C004,722.183,3.333,50,443.976
S00003,C005,716.308,6.333,50,441.051
S00003,C006,553.349,6.667,50,343.343
S00003,C007,398.187,4.667,50,249.846
S00003,C008,391.547,4.0,50,245.728
S00003,C009,185.806,3.333,50,122.15
S00003,C010,75.858,6.333,0,46.781
S00003,C011,192.639,5.0,50,126.583
S00003,C012,308.157,5.0,50,195.894
S00003,C013,384.842,3.0,10,233.505
S00003,C014,469.04,8.0,5,284.024
S00003,C015,637.34,3.333,50,393.071
S00003,C016,791.315,4.667,50,485.722
S00003,C017,780.131,2.667,50,478.612
S00003,C018,883.95,3.333,50,541.037
S00003,C019,893.219,5.667,50,547.065
S00003,C020,546.71,2.667,50,338.559
S00004,C001,456.367,5.667,50,284.954
S00004,C002,345.563,3.0,50,217.938
S00004,C003,412.22,2.333,10,249.799
S00004,C004,369.124,3.333,5,223.141
S00004,C005,434.25,6.333,50,271.817
S00004,C006,349.373,6.667,50,220.957
S00004,C007,240.707,4.667,0,145.358
S00004,C008,317.917,4.0,50,201.55
S00004,C009,338.115,3.333,50,213.536
S00004,C010,397.057,6.333,50,249.501
S00004,C011,353.507,5.0,50,223.104
S00004,C012,321.891,5.0,50,204.135
S00004,C013,354.229,3.0,50,223.137
S00004,C014,327.804,8.0,50,208.282
S00004,C015,464.993,3.333,50,289.662
S00004,C016,406.177,4.667,50,254.64
S00004,C017,335.385,2.667,50,211.764
S00004,C018,422.955,3.333,50,264.44
S00004,C019,425.289,5.667,50,266.307
S00004,C020,84.768,2.667,50,61.394
S00005,C001,218.71,5.667,50,142.359
S00005,C002,286.175,3.0,50,182.305
S00005,C003,435.401,2.333,0,261.707
S00005,C004,479.066,3.333,50,298.106
S00005,C005,594.709,6.333,50,368.092
S00005,C006,555.863,6.667,50,344.851
S00005,C007,587.568,4.667,50,363.474
S00005,C008,652.615,4.0,50,402.369
S00005,C009,766.231,3.333,50,470.405
S00005,C010,843.687,6.333,50,517.479
S00005,C011,800.578,5.0,50,491.347
S00005,C012,745.394,5.0,50,458.236
S00005,C013,747.377,3.0,50,459.026
S00005,C014,676.846,8.0,50,417.708
S00005,C015,718.312,3.333,50,441.654
S00005,C016,304.888,4.667,50,193.866
S00005,C017,172.74,2.667,50,114.177
S00005,C018,49.752,3.333,10,32.518
S00005,C019,56.245,5.667,5,35.88
S00005,C020,383.896,2.667,50,240.871
S00006,C001,363.752,5.667,50,229.385
S00006,C002,238.379,3.0,50,153.627
S00006,C003,142.15,2.333,5,86.757
S00006,C004,60.104,3.333,10,38.729
S00006,C005,92.784,6.333,50,66.937
S00006,C006,691.68,6.667,50,426.341
S00006,C007,584.801,4.667,50,361.814
S00006,C008,659.914,4.0,50,406.748
S00006,C009,618.439,3.333,50,381.73
S00006,C010,622.138,6.333,50,384.549
S00006,C011,485.99,5.0,0,292.594
S00006,C012,378.897,5.0,50,238.338
S00006,C013,329.895,3.0,50,208.537
S00006,C014,232.066,8.0,50,150.84
S00006,C015,202.196,3.333,50,131.984
S00006,C016,655.501,4.667,50,404.234
S00006,C017,516.756,2.667,50,320.587
S00006,C018,522.551,3.333,50,324.197
S00006,C019,464.084,5.667,50,289.584
S00006,C020,294.971,2.667,50,187.516
S00007,C001,631.397,5.667,50,389.972
S00007,C002,495.314,3.0,50,307.788
S00007,C003,443.945,2.333,50,276.834
S00007,C004,362.625,3.333,50,228.242
S00007,C005,324.815,6.333,50,206.156
S00007,C006,648.823,6.667,50,400.627
S00007,C007,492.834,4.667,50,306.634
S00007,C008,548.114,4.0,50,339.668
S00007,C009,418.805,3.333,50,261.95
S00007,C010,375.487,6.333,50,236.559
S00007,C011,210.519,5.0,50,137.311
S00007,C012,95.512,5.0,50,68.307
S00007,C013,26.769,3.0,10,18.661
S00007,C014,72.819,8.0,0,45.291
S00007,C015,234.846,3.333,50,151.574
S00007,C016,743.582,4.667,5,448.083
S00007,C017,652.442,2.667,50,401.999
S00007,C018,710.135,3.333,50,436.748
S00007,C019,680.507,5.667,50,419.438
S00007,C020,361.378,2.667,50,227.36
S00008,C001,138.697,5.667,0,84.352
S00008,C002,209.895,3.0,50,136.537
S00008,C003,356.006,2.333,5,215.07
S00008,C004,403.915,3.333,50,253.016
S00008,C005,519.322,6.333,50,322.86
S00008,C006,584.581,6.667,50,362.082
S00008,C007,593.287,4.667,50,366.906
S00008,C008,663.399,4.0,50,408.839
S00008,C009,756.252,3.333,50,464.418
S00008,C010,824.588,6.333,50,506.019
S00008,C011,765.934,5.0,50,470.56
S00008,C012,701.351,5.0,50,431.811
S00008,C013,695.833,3.0,50,428.1
S00008,C014,619.455,8.0,50,383.273
S00008,C015,647.799,3.333,50,399.346
S00008,C016,362.081,4.667,50,228.182
S00008,C017,211.234,2.667,50,137.274
S00008,C018,114.808,3.333,50,79.551
S00008,C019,27.743,5.667,10,19.779
S00008,C020,351.37,2.667,50,221.355
S00009,C001,447.424,5.667,50,279.588
S00009,C002,339.138,3.0,50,214.083
S00009,C003,201.454,2.333,50,131.339
S00009,C004,146.39,3.333,50,98.501
S00009,C005,33.024,6.333,10,23.081
S00009,C006,812.232,6.667,50,498.673
S00009,C007,696.912,4.667,50,429.081
S00009,C008,769.896,4.0,50,472.738
S00009,C009,706.169,3.333,50,434.368
S00009,C010,692.728,6.333,50,426.903
S00009,C011,539.742,5.0,50,334.845
S00009,C012,425.189,5.0,50,266.113
S00009,C013,357.884,3.0,50,225.33
S00009,C014,263.837,8.0,0,159.902
S00009,C015,138.51,3.333,50,93.773
S00009,C016,780.205,4.667,50,479.056
S00009,C017,638.763,2.667,50,393.791
S00009,C018,635.231,3.333,50,391.805
S00009,C019,569.818,5.667,5,344.024
S00009,C020,418.475,2.667,50,261.618
S00010,C001,362.167,5.667,50,228.434
S00010,C002,333.22,3.0,50,210.532
S00010,C003,473.954,2.333,50,294.839
S00010,C004,478.63,3.333,50,297.845
S00010,C005,583.067,6.333,50,361.107
S00010,C006,328.07,6.667,50,208.175
S00010,C007,356.9,4.667,50,225.073
S00010,C008,419.604,4.0,50,262.562
S00010,C009,547.268,3.333,50,339.027
S00010,C010,635.764,6.333,50,392.725
S00010,C011,623.033,5.0,50,384.82
S00010,C012,593.716,5.0,50,367.23
S00010,C013,618.043,3.0,50,381.426
S00010,C014,572.012,8.0,50,354.807
S00010,C015,668.009,3.333,50,411.472
S00010,C016,164.122,4.667,0,99.407
S00010,C017,69.569,2.667,5,43.275
S00010,C018,188.549,3.333,50,123.796
S00010,C019,238.022,5.667,10,145.947
S00010,C020,239.021,2.667,50,153.946
S00011,C001,178.389,5.667,50,118.167
S00011,C002,106.029,3.0,10,66.217
S00011,C003,68.634,2.333,0,41.647
S00011,C004,143.367,3.333,50,96.687
