student_id,centre_id
S00001,C016
S00002,C002
S00003,C012
S00004,C013
S00005,C005
S00006,C005
S00007,C002
S00008,C012
S00009,C012
S00010,C016
S00011,C008
S00012,C012
S00013,C008
S00014,C005
S00015,C013
S00016,C012
S00017,C008
S00018,C013
S00019,C013
S00020,C008
S00021,C002
S00022,C016
S00023,C012
S00024,C002
S00025,C002
S00026,C002
S00027,C016
S00028,C005
S00029,C013
S00030,C013
S00031,C016
S00032,C002
S00033,C008
S00034,C016
S00035,C016
S00036,C008
S00037,C002
S00038,C002
S00039,C008
S00040,C013
S00041,C016
S00042,C002
S00043,C002
S00044,C008
S00045,C002
S00046,C008
S00047,C005
S00048,C012
S00049,C008
S00050,C013
S00051,C005
S00052,C016
S00053,C008
S00054,C008
S00055,C008
S00056,C002
S00057,C005
S00058,C013
S00059,C002
S00060,C002
S00061,C002
S00062,C013
S00063,C005
S00064,C008
S00065,C005
S00066,C002
S00067,C016
S00068,C002
S00069,C002
S00070,C008
S00071,C002
S00072,C016
S00073,C002
S00074,C013
S00075,C002
S00076,C012
S00077,C012
S00078,C016
S00079,C002
S00080,C008
S00081,C013
S00082,C013
S00083,C002
S00084,C013
S00085,C005
S00086,C008
S00087,C005
S00088,C012
S00089,C016
S00090,C013
S00091,C008
S00092,C016
S00093,C013
S00094,C002
S00095,C008
S00096,C005
S00097,C005
S00098,C012
S00099,C005
S00100,C005
S00101,C013
S00102,C008
S00103,C002
S00104,C005
S00105,C008
S00106,C012
S00107,C008
S00108,C013
S00109,C002
S00110,C008
S00111,C013
S00112,C002
S00113,C005
S00114,C012
S00115,C012
S00116,C016
S00117,C005
S00118,C002
S00119,C008
S00120,C002
S00121,C013
S00122,C005
S00123,C008
S00124,C005
S00125,C013
S00126,C002
S00127,C008
S00128,C002
S00129,C008
S00130,C016
S00131,C008
S00132,C002
S00133,C016
S00134,C008
S00135,C005
S00136,C016
S00137,C005
S00138,C013
S00139,C008
S00140,C016
S00141,C008
S00142,C005
S00143,C012
S00144,C016
S00145,C002
S00146,C008
S00147,C013
S00148,C002
S00149,C012
S00150,C008
S00151,C005
S00152,C002
S00153,C008
S00154,C002
S00155,C002
S00156,C005
S00157,C008
S00158,C013
S00159,C002
S00160,C016
S00161,C002
S00162,C005
S00163,C005
S00164,C013
S00165,C012
S00166,C012
S00167,C012
S00168,C008
S00169,C016
S00170,C012
S00171,C005
S00172,C016
S00173,C013
S00174,C008
S00175,C016
S00176,C008
S00177,C012
S00178,C012
S00179,C008
S00180,C012
S00181,C016
S00182,C016
S00183,C016
S00184,C012
S00185,C008
S00186,C005
S00187,C002
S00188,C013
S00189,C013
S00190,C012
S00191,C013
S00192,C008
S00193,C002
S00194,C013
S00195,C008
S00196,C008
S00197,C005
S00198,C012
S00199,C002
S00200,C008
S00201,C013
S00202,C016
S00203,C008
S00204,C005
S00205,C008
S00206,C002
S00207,C008
S00208,C013
S00209,C008
S00210,C002
S00211,C008
S00212,C013
S00213,C005
S00214,C008
S00215,C016
S00216,C002
S00217,C012
S00218,C013
S00219,C016
S00220,C008
S00221,C013
S00222,C008
S00223,C008
S00224,C008
S00225,C012
S00226,C013
S00227,C013
S00228,C002
S00229,C016
S00230,C013
S00231,C012
S00232,C005
S00233,C002
S00234,C002
S00235,C016
S00236,C002
S00237,C013
S00238,C013
S00239,C002
S00240,C002
S00241,C012
S00242,C008
S00243,C008
S00244,C012
S00245,C008
S00246,C005
S00247,C008
S00248,C008
S00249,C016
S00250,C016
S00251,C013
S00252,C013
S00253,C005
S00254,C002
S00255,C012
S00256,C005
S00257,C013
S00258,C002
S00259,C012
S00260,C016
S00261,C012
S00262,C013
S00263,C016
S00264,C002
S00265,C012
S00266,C016
S00267,C013
S00268,C002
S00269,C012
S00270,C002
S00271,C002
S00272,C002
S00273,C012
S00274,C008
S00275,C005
S00276,C002
S00277,C016
S00278,C008
S00279,C012
S00280,C005
S00281,C002
S00282,C005
S00283,C005
S00284,C013
S00285,C013
S00286,C005
S00287,C008
S00288,C008
S00289,C008
S00290,C002
S00291,C005
S00292,C002
S00293,C012
S00294,C005
S00295,C012
S00296,C005
S00297,C016
S00298,C005
S00299,C012
S00300,C013
S00301,C002
S00302,C008
S00303,C005
S00304,C005
S00305,C002
S00306,C016
S00307,C013
S00308,C002
S00309,C012
S00310,C008
S00311,C013
S00312,C012
S00313,C016
S00314,C008
S00315,C002
S00316,C005
S00317,C013
S00318,C008
S00319,C016
S00320,C008
S00321,C005
S00322,C013
S00323,C016
S00324,C013
S00325,C002
S00326,C002
S00327,C012
S00328,C002
S00329,C013
S00330,C012
S00331,C002
S00332,C005
S00333,C005
S00334,C005
S00335,C005
S00336,C002
S00337,C013
S00338,C005
S00339,C013
S00340,C002
S00341,C002
S00342,C002
S00343,C002
S00344,C002
S00345,C005
S00346,C013
S00347,C008
S00348,C002
S00349,C013
S00350,C013
S00351,C012
S00352,C012
S00353,C002
S00354,C002
S00355,C016
S00356,C002
S00357,C012
S00358,C008
S00359,C005
S00360,C016
S00361,C012
S00362,C016
S00363,C016
S00364,C012
S00365,C005
S00366,C005
S00367,C012
S00368,C002
S00369,C002
S00370,C008
S00371,C005
S00372,C012
S00373,C005
S00374,C008
S00375,C013
S00376,C002
S00377,C002
S00378,C016
S00379,C016
S00380,C002
S00381,C012
S00382,C013
S00383,C013
S00384,C013
S00385,C005
S00386,C002
S00387,C002
S00388,C002
S00389,C002
S00390,C016
S00391,C013
S00392,C005
S00393,C016
S00394,C016
S00395,C008
S00396,C012
S00397,C005
S00398,C002
S00399,C012
S00400,C016
S00401,C005
S00402,C002
S00403,C013
S00404,C005
S00405,C012
S00406,C012
S00407,C016
S00408,C008
S00409,C012
S00410,C012
S00411,C002
S00412,C012
S00413,C005
S00414,C002
S00415,C012
S00416,C005
S00417,C005
S00418,C012
S00419,C005
S00420,C008
S00421,C002
S00422,C005
S00423,C013
S00424,C008
S00425,C008
S00426,C012
S00427,C002
S00428,C016
S00429,C005
S00430,C008
S00431,C005
S00432,C005
S00433,C005
S00434,C012
S00435,C002
S00436,C012
S00437,C008
S00438,C005
S00439,C013
S00440,C013
S00441,C008
S00442,C008
S00443,C012
S00444,C012
S00445,C013
S00446,C016
S00447,C016
S00448,C012
S00449,C013
S00450,C002
S00451,C016
S00452,C008
S00453,C008
S00454,C008
S00455,C002
S00456,C008
S00457,C005
S00458,C013
S00459,C005
S00460,C008
S00461,C005
S00462,C005
S00463,C012
S00464,C005
S00465,C002
S00466,C013
S00467,C002
S00468,C016
S00469,C005
S00470,C005
S00471,C002
S00472,C012
S00473,C013
S00474,C012
S00475,C002
S00476,C013
S00477,C002
S00478,C002
S00479,C013
S00480,C012
S00481,C002
S00482,C016
S00483,C002
S00484,C008
S00485,C005
S00486,C016
S00487,C008
S00488,C013
S00489,C005
S00490,C008
S00491,C002
S00492,C013
S00493,C002
S00494,C013
S00495,C002
S00496,C002
S00497,C008
S00498,C002
S00499,C002
S00500,C005
S00501,C005
S00502,C002
S00503,C005
S00504,C005
S00505,C005
S00506,C016
S00507,C013
S00508,C008
S00509,C012
S00510,C008
S00511,C016
S00512,C012
S00513,C002
S00514,C002
S00515,C012
S00516,C013
S00517,C016
S00518,C013
S00519,C002
S00520,C008
S00521,C005
S00522,C002
S00523,C002
S00524,C005
S00525,C012
S00526,C012
S00527,C008
S00528,C012
S00529,C016
S00530,C013
S00531,C016
S00532,C013
S00533,C002
S00534,C002
S00535,C012
S00536,C002
S00537,C016
S00538,C016
S00539,C002
S00540,C008
S00541,C002
S00542,C013
S00543,C002
S00544,C005
S00545,C013
S00546,C005
S00547,C002
S00548,C005
S00549,C013
S00550,C002
S00551,C016
S00552,C012
S00553,C008
S00554,C013
S00555,C002
S00556,C008
S00557,C008
S00558,C008
S00559,C002
S00560,C002
S00561,C002
S00562,C016
S00563,C005
S00564,C002
S00565,C002
S00566,C016
S00567,C013
S00568,C005
S00569,C013
S00570,C013
S00571,C013
S00572,C005
S00573,C016
S00574,C008
S00575,C005
S00576,C013
S00577,C008
S00578,C005
S00579,C012
S00580,C005
S00581,C016
S00582,C005
S00583,C013
S00584,C005
S00585,C002
S00586,C005
S00587,C016
S00588,C016
S00589,C002
S00590,C012
S00591,C016
S00592,C002
S00593,C016
S00594,C008
S00595,C002
S00596,C012
S00597,C008
S00598,C008
S00599,C002
S00600,C002
S00601,C012
S00602,C013
S00603,C013
S00604,C013
S00605,C012
S00606,C002
S00607,C012
S00608,C008
S00609,C005
S00610,C016
S00611,C013
S00612,C016
S00613,C008
S00614,C002
S00615,C005
S00616,C002
S00617,C005
S00618,C016
S00619,C005
S00620,C013
S00621,C013
S00622,C016
S00623,C016
S00624,C005
S00625,C002
S00626,C005
S00627,C008
S00628,C016
S00629,C002
S00630,C002
S00631,C008
S00632,C013
S00633,C005
S00634,C008
S00635,C012
S00636,C002
S00637,C012
S00638,C012
S00639,C008
S00640,C005
S00641,C005
S00642,C002
S00643,C012
S00644,C013
S00645,C013
S00646,C002
S00647,C013
S00648,C012
S00649,C005
S00650,C002
S00651,C008
S00652,C002
S00653,C013
S00654,C012
S00655,C016
S00656,C005
S00657,C012
S00658,C016
S00659,C008
S00660,C013
S00661,C013
S00662,C013
S00663,C016
S00664,C002
S00665,C008
S00666,C016
S00667,C013
S00668,C002
S00669,C013
S00670,C002
S00671,C008
S00672,C008
S00673,C008
S00674,C002
S00675,C016
S00676,C012
S00677,C005
S00678,C005
S00679,C005
S00680,C008
S00681,C005
S00682,C013
S00683,C005
S00684,C005
S00685,C002
S00686,C002
S00687,C008
S00688,C002
S00689,C008
S00690,C012
S00691,C013
S00692,C012
S00693,C013
S00694,C012
S00695,C008
S00696,C005
S00697,C002
S00698,C013
S00699,C005
S00700,C002
S00701,C008
S00702,C002
S00703,C016
S00704,C002
S00705,C016
S00706,C002
S00707,C002
S00708,C012
S00709,C008
S00710,C005
S00711,C005
S00712,C016
S00713,C016
S00714,C013
S00715,C008
S00716,C016
S00717,C005
S00718,C008
S00719,C005
S00720,C013
S00721,C016
S00722,C013
S00723,C013
S00724,C005
S00725,C012
S00726,C005
S00727,C002
S00728,C012
S00729,C013
S00730,C013
S00731,C005
S00732,C008
S00733,C012
S00734,C005
S00735,C002
S00736,C008
S00737,C002
S00738,C013
S00739,C008
S00740,C005
S00741,C012
S00742,C005
S00743,C012
S00744,C016
S00745,C008
S00746,C005
S00747,C002
S00748,C002
S00749,C005
S00750,C013
S00751,C005
S00752,C008
S00753,C008
S00754,C016
S00755,C013
S00756,C008
S00757,C002
S00758,C002
S00759,C005
S00760,C012
S00761,C013
S00762,C008
S00763,C013
S00764,C012
S00765,C002
S00766,C012
S00767,C005
S00768,C005
S00769,C002
S00770,C002
S00771,C005
S00772,C002
S00773,C012
S00774,C005
S00775,C008
S00776,C005
S00777,C012
S00778,C012
S00779,C008
S00780,C012
S00781,C012
S00782,C008
S00783,C008
S00784,C002
S00785,C012
S00786,C012
S00787,C016
S00788,C013
S00789,C013
S00790,C013
S00791,C012
S00792,C013
S00793,C008
S00794,C005
S00795,C012
S00796,C008
S00797,C002
S00798,C002
S00799,C008
S00800,C016
S00801,C016
S00802,C016
S00803,C013
S00804,C008
S00805,C005
S00806,C016
S00807,C008
S00808,C005
S00809,C002
S00810,C002
S00811,C002
S00812,C008
S00813,C002
S00814,C002
S00815,C013
S00816,C016
S00817,C012
S00818,C012
S00819,C012
S00820,C005
S00821,C013
S00822,C005
S00823,C008
S00824,C008
S00825,C012
S00826,C005
S00827,C008
S00828,C012
S00829,C016
S00830,C005
S00831,C012
S00832,C008
S00833,C002
S00834,C005
S00835,C005
S00836,C016
S00837,C012
S00838,C005
S00839,C012
S00840,C012
S00841,C008
S00842,C005
S00843,C016
S00844,C005
S00845,C005
S00846,C008
S00847,C008
S00848,C002
S00849,C012
S00850,C013
S00851,C016
S00852,C013
S00853,C013
S00854,C012
S00855,C005
S00856,C002
S00857,C002
S00858,C016
S00859,C012
S00860,C013
S00861,C013
S00862,C013
S00863,C012
S00864,C012
S00865,C016
S00866,C005
S00867,C008
S00868,C002
S00869,C005
S00870,C016
S00871,C012
S00872,C012
S00873,C016
S00874,C008
S00875,C008
S00876,C002
S00877,C005
S00878,C013
S00879,C016
S00880,C013
S00881,C016
S00882,C002
S00883,C012
S00884,C016
S00885,C008
S00886,C008
S00887,C008
S00888,C008
S00889,C002
S00890,C016
S00891,C002
S00892,C005
S00893,C002
S00894,C002
S00895,C002
S00896,C005
S00897,C012
S00898,C012
S00899,C013
S00900,C002
S00901,C005
S00902,C012
S00903,C008
S00904,C013
S00905,C012
S00906,C002
S00907,C005
S00908,C012
S00909,C013
S00910,C012
S00911,C002
S00912,C013
S00913,C005
S00914,C002
S00915,C002
S00916,C005
S00917,C005
S00918,C016
S00919,C008
S00920,C013
S00921,C005
S00922,C005
S00923,C008
S00924,C016
S00925,C005
S00926,C013
S00927,C002
S00928,C008
S00929,C005
S00930,C016
S00931,C008
S00932,C005
S00933,C005
