student_id,centre_id
S00001,C018
S00002,C016
S00003,C010
S00004,C020
S00005,C018
S00006,C004
S00007,C013
S00008,C019
S00009,C005
S00010,C017
S00011,C003
S00012,C010
S00013,C015
S00014,C010
S00015,C002
S00016,C001
S00017,C019
S00018,C006
S00019,C006
S00020,C002
S00021,C019
S00022,C002
S00023,C006
S00024,C003
S00025,C010
S00026,C014
S00027,C020
S00028,C010
S00029,C009
S00030,C006
S00031,C003
S00032,C016
S00033,C001
S00034,C013
S00035,C020
S00036,C014
S00037,C020
S00038,C006
S00039,C008
S00040,C013
S00041,C011
S00042,C019
S00043,C013
S00044,C014
S00045,C020
S00046,C016
S00047,C015
S00048,C012
S00049,C002
S00050,C007
S00051,C016
S00052,C004
S00053,C011
S00054,C009
S00055,C019
S00056,C008
S00057,C020
S00058,C001
S00059,C017
S00060,C006
S00061,C019
S00062,C009
S00063,C001
S00064,C020
S00065,C014
S00066,C003
S00067,C001
S00068,C009
S00069,C006
S00070,C009
S00071,C013
S00072,C011
S00073,C013
S00074,C014
S00075,C009
S00076,C009
S00077,C010
S00078,C015
S00079,C002
S00080,C005
S00081,C020
S00082,C009
S00083,C011
S00084,C019
S00085,C005
S00086,C002
S00087,C003
S00088,C020
S00089,C018
S00090,C010
S00091,C016
S00092,C010
S00093,C007
S00094,C007
S00095,C009
S00096,C018
S00097,C018
S00098,C020
S00099,C011
S00100,C011
S00101,C008
S00102,C017
S00103,C019
S00104,C015
S00105,C006
S00106,C016
S00107,C006
S00108,C020
S00109,C016
S00110,C014
S00111,C013
S00112,C004
S00113,C017
S00114,C020
S00115,C009
S00116,C004
S00117,C017
S00118,C015
S00119,C018
S00120,C014
S00121,C004
S00122,C010
S00123,C018
S00124,C006
S00125,C006
S00126,C005
S00127,C012
S00128,C015
S00129,C014
S00130,C007
S00131,C009
S00132,C008
S00133,C003
S00134,C004
S00135,C020
S00136,C005
S00137,C001
S00138,C014
S00139,C012
S00140,C020
S00141,C017
S00142,C005
S00143,C020
S00144,C016
S00145,C018
S00146,C012
S00147,C013
S00148,C004
S00149,C015
S00150,C015
S00151,C020
S00152,C009
S00153,C018
S00154,C012
S00155,C003
S00156,C011
S00157,C019
S00158,C003
S00159,C020
S00160,C016
S00161,C001
S00162,C020
S00163,C014
S00164,C008
S00165,C010
S00166,C018
S00167,C009
S00168,C013
S00169,C020
S00170,C001
S00171,C007
S00172,C020
S00173,C015
S00174,C012
S00175,C006
S00176,C019
S00177,C008
S00178,C006
S00179,C018
S00180,C012
S00181,C018
S00182,C005
S00183,C015
S00184,C011
S00185,C018
S00186,C001
S00187,C002
S00188,C013
S00189,C020
S00190,C018
S00191,C020
S00192,C016
S00193,C015
S00194,C007
S00195,C012
S00196,C014
S00197,C001
S00198,C009
S00199,C019
S00200,C020
S00201,C015
S00202,C018
S00203,C012
S00204,C006
S00205,C019
S00206,C016
S00207,C014
S00208,C013
S00209,C017
S00210,C001
S00211,C015
S00212,C011
S00213,C001
S00214,C016
S00215,C004
S00216,C020
S00217,C001
S00218,C012
S00219,C014
S00220,C019
S00221,C019
S00222,C003
S00223,C003
S00224,C009
S00225,C012
S00226,C018
S00227,C001
S00228,C019
S00229,C001
S00230,C002
S00231,C001
S00232,C002
S00233,C017
S00234,C008
S00235,C017
S00236,C001
S00237,C001
S00238,C011
S00239,C011
S00240,C015
S00241,C010
S00242,C018
S00243,C003
S00244,C003
S00245,C008
S00246,C002
S00247,C009
S00248,C009
S00249,C014
S00250,C002
S00251,C016
S00252,C013
S00253,C009
S00254,C017
S00255,C008
S00256,C005
S00257,C003
S00258,C018
S00259,C012
S00260,C004
S00261,C008
S00262,C002
S00263,C016
S00264,C004
S00265,C001
S00266,C015
S00267,C013
S00268,C009
S00269,C011
S00270,C001
S00271,C016
S00272,C016
S00273,C011
S00274,C009
S00275,C019
S00276,C015
S00277,C020
S00278,C018
S00279,C006
S00280,C018
S00281,C002
S00282,C019
S00283,C005
S00284,C016
S00285,C009
S00286,C018
S00287,C009
S00288,C009
S00289,C002
S00290,C013
S00291,C010
S00292,C014
S00293,C003
S00294,C011
S00295,C020
S00296,C007
S00297,C015
S00298,C003
S00299,C008
S00300,C008
S00301,C008
S00302,C013
S00303,C014
S00304,C014
S00305,C008
S00306,C005
S00307,C019
S00308,C014
S00309,C005
S00310,C015
S00311,C020
S00312,C005
S00313,C001
S00314,C010
S00315,C020
S00316,C018
S00317,C013
S00318,C006
S00319,C019
S00320,C019
S00321,C012
S00322,C005
S00323,C017
S00324,C015
S00325,C013
S00326,C018
S00327,C003
S00328,C005
S00329,C004
S00330,C014
S00331,C009
S00332,C004
S00333,C002
S00334,C009
S00335,C008
S00336,C005
S00337,C003
S00338,C017
S00339,C014
S00340,C001
S00341,C007
S00342,C006
S00343,C019
S00344,C003
S00345,C019
S00346,C015
S00347,C017
S00348,C012
S00349,C008
S00350,C009
S00351,C014
S00352,C002
S00353,C020
S00354,C001
S00355,C008
S00356,C014
S00357,C012
S00358,C006
S00359,C011
S00360,C015
S00361,C005
S00362,C019
S00363,C014
S00364,C019
S00365,C017
S00366,C017
S00367,C012
S00368,C013
S00369,C010
S00370,C003
S00371,C015
S00372,C016
S00373,C018
S00374,C008
S00375,C019
S00376,C003
S00377,C013
S00378,C018
S00379,C002
S00380,C014
S00381,C011
S00382,C010
S00383,C010
S00384,C010
S00385,C019
S00386,C020
S00387,C006
S00388,C004
S00389,C006
S00390,C020
S00391,C011
S00392,C011
S00393,C020
S00394,C006
S00395,C006
S00396,C019
S00397,C001
S00398,C012
S00399,C018
S00400,C020
S00401,C012
S00402,C011
S00403,C017
S00404,C008
S00405,C013
S00406,C015
S00407,C007
S00408,C016
S00409,C014
S00410,C015
S00411,C004
S00412,C004
S00413,C015
S00414,C018
S00415,C009
S00416,C011
S00417,C011
S00418,C013
S00419,C005
S00420,C015
S00421,C009
S00422,C006
S00423,C017
S00424,C001
S00425,C014
S00426,C020
S00427,C005
S00428,C001
S00429,C015
S00430,C010
S00431,C014
S00432,C014
S00433,C011
S00434,C009
S00435,C020
S00436,C019
S00437,C020
S00438,C001
S00439,C005
S00440,C014
S00441,C016
S00442,C013
S00443,C011
S00444,C020
S00445,C006
S00446,C008
S00447,C015
S00448,C004
S00449,C014
S00450,C013
S00451,C010
S00452,C016
S00453,C015
S00454,C011
S00455,C002
S00456,C005
S00457,C015
S00458,C017
S00459,C012
S00460,C015
S00461,C012
S00462,C012
S00463,C001
S00464,C009
S00465,C008
S00466,C014
S00467,C011
S00468,C016
S00469,C011
S00470,C005
S00471,C001
S00472,C005
S00473,C013
S00474,C009
S00475,C003
S00476,C011
S00477,C007
S00478,C009
S00479,C014
S00480,C020
S00481,C015
S00482,C016
