student_id,centre_id,distance,accessibility_penalty,preference_penalty,hardship
S00001,C001,216.369,5.667,50,178.662
S00001,C002,227.573,3.0,50,187.358
S00001,C003,380.257,2.333,50,309.439
S00001,C004,408.948,3.333,50,332.492
S00001,C005,523.083,6.333,50,424.1
S00001,C006,481.087,6.667,50,390.536
S00001,C007,492.693,4.667,50,399.621
S00001,C008,561.427,4.0,50,454.542
S00001,C009,663.48,3.333,50,536.117
S00001,C010,738.216,6.333,50,596.206
S00001,C011,693.886,5.0,50,560.609
S00001,C012,640.605,5.0,50,517.984
S00001,C013,645.773,3.0,50,521.918
S00001,C014,579.374,8.0,5,464.799
S00001,C015,635.532,3.333,50,513.759
S00001,C016,275.286,4.667,50,225.695
S00001,C017,116.656,2.667,50,98.591
S00001,C018,87.823,3.333,0,70.592
S00001,C019,88.598,5.667,10,72.445
S00001,C020,277.468,2.667,50,227.241
S00002,C001,485.987,5.667,50,394.356
S00002,C002,475.195,3.0,50,385.456
S00002,C003,618.774,2.333,50,500.253
S00002,C004,624.013,3.333,50,504.544
S00002,C005,727.307,6.333,50,587.479
S00002,C006,275.032,6.667,50,225.692
S00002,C007,371.58,4.667,50,302.731
S00002,C008,412.839,4.0,50,335.671
S00002,C009,583.068,3.333,5,467.288
S00002,C010,686.273,6.333,50,554.652
S00002,C011,706.738,5.0,50,570.89
S00002,C012,696.82,5.0,50,562.956
S00002,C013,732.316,3.0,50,591.153
S00002,C014,697.597,8.0,50,563.878
S00002,C015,806.293,3.333,50,650.368
S00002,C016,29.746,4.667,0,24.263
S00002,C017,153.002,2.667,10,123.668
S00002,C018,260.026,3.333,50,213.354
S00002,C019,336.815,5.667,50,275.019
S00002,C020,366.97,2.667,50,298.843
S00003,C001,912.454,5.667,50,735.53
S00003,C002,786.683,3.0,50,634.646
S00003,C003,794.977,2.333,50,641.215
S00003,C004,722.183,3.333,50,583.08
S00003,C005,716.308,6.333,50,578.68
S00003,C006,553.349,6.667,50,448.346
S00003,C007,398.187,4.667,50,324.016
S00003,C008,391.547,4.0,50,318.638
S00003,C009,185.806,3.333,50,153.978
S00003,C010,75.858,6.333,0,61.32
S00003,C011,192.639,5.0,50,159.611
S00003,C012,308.157,5.0,50,252.026
S00003,C013,384.842,3.0,10,309.174
S00003,C014,469.04,8.0,5,376.532
S00003,C015,637.34,3.333,50,515.205
S00003,C016,791.315,4.667,50,638.519
S00003,C017,780.131,2.667,50,629.371
S00003,C018,883.95,3.333,50,712.493
S00003,C019,893.219,5.667,50,720.142
S00003,C020,546.71,2.667,50,442.635
S00004,C001,456.367,5.667,50,370.66
S00004,C002,345.563,3.0,50,281.75
S00004,C003,412.22,2.333,10,331.009
S00004,C004,369.124,3.333,5,296.133
S00004,C005,434.25,6.333,50,353.033
S00004,C006,349.373,6.667,50,285.165
S00004,C007,240.707,4.667,0,193.032
S00004,C008,317.917,4.0,50,259.734
S00004,C009,338.115,3.333,50,275.825
S00004,C010,397.057,6.333,50,323.279
S00004,C011,353.507,5.0,50,288.306
S00004,C012,321.891,5.0,50,263.013
S00004,C013,354.229,3.0,50,288.683
S00004,C014,327.804,8.0,50,268.043
S00004,C015,464.993,3.333,50,377.328
S00004,C016,406.177,4.667,50,330.408
S00004,C017,335.385,2.667,50,273.575
S00004,C018,422.955,3.333,50,343.697
S00004,C019,425.289,5.667,50,345.798
S00004,C020,84.768,2.667,50,73.081
S00005,C001,218.71,5.667,50,180.535
S00005,C002,286.175,3.0,50,234.24
S00005,C003,435.401,2.333,0,348.554
S00005,C004,479.066,3.333,50,388.586
S00005,C005,594.709,6.333,50,481.401
S00005,C006,555.863,6.667,50,450.357
S00005,C007,587.568,4.667,50,475.521
S00005,C008,652.615,4.0,50,527.492
S00005,C009,766.231,3.333,50,618.318
S00005,C010,843.687,6.333,50,680.583
S00005,C011,800.578,5.0,50,645.962
S00005,C012,745.394,5.0,50,601.815
S00005,C013,747.377,3.0,50,603.202
S00005,C014,676.846,8.0,50,547.277
S00005,C015,718.312,3.333,50,579.983
S00005,C016,304.888,4.667,50,249.377
S00005,C017,172.74,2.667,50,143.459
S00005,C018,49.752,3.333,10,41.135
S00005,C019,56.245,5.667,5,46.063
S00005,C020,383.896,2.667,50,312.383
S00006,C001,363.752,5.667,50,296.568
S00006,C002,238.379,3.0,50,196.003
S00006,C003,142.15,2.333,5,114.453
S00006,C004,60.104,3.333,10,49.417
S00006,C005,92.784,6.333,50,79.861
S00006,C006,691.68,6.667,50,559.011
