student_id,centre_id,distance,accessibility_penalty,preference_penalty,hardship
S00001,C001,216.369,5.667,50,112.114
S00001,C002,227.573,3.0,50,116.329
S00001,C003,380.257,2.333,50,177.336
S00001,C004,408.948,3.333,50,188.913
S00001,C005,523.083,6.333,50,234.867
S00001,C006,481.087,6.667,50,218.101
S00001,C007,492.693,4.667,50,222.544
S00001,C008,561.427,4.0,50,249.971
S00001,C009,663.48,3.333,50,290.725
S00001,C010,738.216,6.333,50,320.92
S00001,C011,693.886,5.0,50,303.054
S00001,C012,640.605,5.0,50,281.742
S00001,C013,645.773,3.0,50,283.609
S00001,C014,579.374,8.0,5,235.05
S00001,C015,635.532,3.333,50,279.546
S00001,C016,275.286,4.667,50,135.581
S00001,C017,116.656,2.667,50,71.929
S00001,C018,87.823,3.333,0,35.463
S00001,C019,88.598,5.667,10,41.006
S00001,C020,277.468,2.667,50,136.254
S00002,C001,485.987,5.667,50,219.961
S00002,C002,475.195,3.0,50,215.378
S00002,C003,618.774,2.333,50,272.743
S00002,C004,624.013,3.333,50,274.939
S00002,C005,727.307,6.333,50,316.556
S00002,C006,275.032,6.667,50,135.679
S00002,C007,371.58,4.667,50,174.099
S00002,C008,412.839,4.0,50,190.536
S00002,C009,583.068,3.333,5,236.061
S00002,C010,686.273,6.333,50,300.143
S00002,C011,706.738,5.0,50,308.195
S00002,C012,696.82,5.0,50,304.228
S00002,C013,732.316,3.0,50,318.226
S00002,C014,697.597,8.0,50,304.839
S00002,C015,806.293,3.333,50,347.851
S00002,C016,29.746,4.667,0,12.365
S00002,C017,153.002,2.667,10,66.467
S00002,C018,260.026,3.333,50,129.344
S00002,C019,336.815,5.667,50,160.293
S00002,C020,366.97,2.667,50,172.055
S00003,C001,912.454,5.667,50,390.548
S00003,C002,786.683,3.0,50,339.973
S00003,C003,794.977,2.333,50,343.224
S00003,C004,722.183,3.333,50,314.207
S00003,C005,716.308,6.333,50,312.157
S00003,C006,553.349,6.667,50,247.006
S00003,C007,398.187,4.667,50,184.741
S00003,C008,391.547,4.0,50,182.019
S00003,C009,185.806,3.333,50,99.656
S00003,C010,75.858,6.333,0,30.977
S00003,C011,192.639,5.0,50,102.556
S00003,C012,308.157,5.0,50,148.763
S00003,C013,384.842,3.0,10,159.237
S00003,C014,469.04,8.0,5,190.916
S00003,C015,637.34,3.333,50,280.269
S00003,C016,791.315,4.667,50,341.993
S00003,C017,780.131,2.667,50,337.319
S00003,C018,883.95,3.333,50,378.913
S00003,C019,893.219,5.667,50,382.854
S00003,C020,546.71,2.667,50,243.951
S00004,C001,456.367,5.667,50,208.113
S00004,C002,345.563,3.0,50,163.525
S00004,C003,412.22,2.333,10,170.121
S00004,C004,369.124,3.333,5,150.483
S00004,C005,434.25,6.333,50,199.333
S00004,C006,349.373,6.667,50,165.416
S00004,C007,240.707,4.667,0,96.749
S00004,C008,317.917,4.0,50,152.567
S00004,C009,338.115,3.333,50,160.579
S00004,C010,397.057,6.333,50,184.456
S00004,C011,353.507,5.0,50,166.903
S00004,C012,321.891,5.0,50,154.256
S00004,C013,354.229,3.0,50,166.992
S00004,C014,327.804,8.0,50,156.922
S00004,C015,464.993,3.333,50,211.331
S00004,C016,406.177,4.667,50,187.937
S00004,C017,335.385,2.667,50,159.421
S00004,C018,422.955,3.333,50,194.515
S00004,C019,425.289,5.667,50,195.682
S00004,C020,84.768,2.667,50,59.174
S00005,C001,218.71,5.667,50,113.051
S00005,C002,286.175,3.0,50,139.77
S00005,C003,435.401,2.333,0,174.394
S00005,C004,479.066,3.333,50,216.96
S00005,C005,594.709,6.333,50,263.517
S00005,C006,555.863,6.667,50,248.012
S00005,C007,587.568,4.667,50,260.494
S00005,C008,652.615,4.0,50,286.446
S00005,C009,766.231,3.333,50,331.826
S00005,C010,843.687,6.333,50,363.108
S00005,C011,800.578,5.0,50,345.731
S00005,C012,745.394,5.0,50,323.658
S00005,C013,747.377,3.0,50,324.251
S00005,C014,676.846,8.0,50,296.538
S00005,C015,718.312,3.333,50,312.658
S00005,C016,304.888,4.667,50,147.422
S00005,C017,172.74,2.667,50,94.363
S00005,C018,49.752,3.333,10,25.234
S00005,C019,56.245,5.667,5,25.565
S00005,C020,383.896,2.667,50,178.825
S00006,C001,363.752,5.667,50,171.067
S00006,C002,238.379,3.0,50,120.652
S00006,C003,142.15,2.333,5,59.593
S00006,C004,60.104,3.333,10,29.375
S00006,C005,92.784,6.333,50,62.747
S00006,C006,691.68,6.667,50,302.339
S00006,C007,584.801,4.667,50,259.387
S00006,C008,659.914,4.0,50,289.366
S00006,C009,618.439,3.333,50,272.709
S00006,C010,622.138,6.333,50,274.489
S00006,C011,485.99,5.0,0,194.896
S00006,C012,378.897,5.0,50,177.059
S00006,C013,329.895,3.0,50,157.258
S00006,C014,232.066,8.0,50,118.626
S00006,C015,202.196,3.333,50,106.212
S00006,C016,655.501,4.667,50,287.667
S00006,C017,516.756,2.667,50,231.969
S00006,C018,522.551,3.333,50,234.354
S00006,C019,464.084,5.667,50,211.2
S00006,C020,294.971,2.667,50,143.255
S00007,C001,631.397,5.667,50,278.125
S00007,C002,495.314,3.0,50,223.426
S00007,C003,443.945,2.333,50,202.811
S00007,C004,362.625,3.333,50,170.383
S00007,C005,324.815,6.333,50,155.559
S00007,C006,648.823,6.667,50,285.196
S00007,C007,492.834,4.667,50,222.6
S00007,C008,548.114,4.0,50,244.646
S00007,C009,418.805,3.333,50,192.855
S00007,C010,375.487,6.333,50,175.828
S00007,C011,210.519,5.0,50,109.708
S00007,C012,95.512,5.0,50,63.705
S00007,C013,26.769,3.0,10,16.008
S00007,C014,72.819,8.0,0,29.928
S00007,C015,234.846,3.333,50,119.272
S00007,C016,743.582,4.667,5,300.399
S00007,C017,652.442,2.667,50,286.243
S00007,C018,710.135,3.333,50,309.387
S00007,C019,680.507,5.667,50,297.769
S00007,C020,361.378,2.667,50,169.818
S00008,C001,138.697,5.667,0,56.045
S00008,C002,209.895,3.0,50,109.258
S00008,C003,356.006,2.333,5,145.136
S00008,C004,403.915,3.333,50,186.899
S00008,C005,519.322,6.333,50,233.362
S00008,C006,584.581,6.667,50,259.499
S00008,C007,593.287,4.667,50,262.781
S00008,C008,663.399,4.0,50,290.76
S00008,C009,756.252,3.333,50,327.834
S00008,C010,824.588,6.333,50,355.469
S00008,C011,765.934,5.0,50,331.874
S00008,C012,701.351,5.0,50,306.04
